window,n_visible_tau,n_actions,lp_success,lp_solve_ms,lp_fractional_value,lp_rounded_expected_value,greedy_expected_value,lp_rounding_gap,lp_rounding_gap_rel,lighting_U1,conveyor_speed_V_mps,full_bins,lp_selected_count,lp_true_value,lp_correct_bin_rate,lp_contamination_events,lp_robot_utilization,greedy_selected_count,greedy_true_value,greedy_correct_bin_rate,greedy_contamination_events,greedy_robot_utilization,missed_positive_value_lp_proxy
132,9,18,True,0.4494580000000692,-0.0,0.0,-0.450320683557044,0.0,0.0,standard,0.65,HDPE,0,0.0,1.0,0,0.0,2,-0.535933325651885,0.0,2,0.5757812499999999,0.1653837864650186
133,11,36,True,0.5283750000000254,1.4304728302962877,0.9319504167769419,0.9319504167769419,0.4985224135193458,0.3485018400636725,standard,0.25,organic,2,1.137228812182175,1.0,0,0.5757812499999999,2,1.137228812182175,1.0,0,0.5757812499999999,1.848813331130594
134,8,42,True,0.6624579999998659,1.8560860041808782,1.7290164744365795,1.7290164744365795,0.12706952974429875,0.06846101390672177,dim,0.45,,3,2.495682048913946,1.0,0,0.77890625,3,2.495682048913946,1.0,0,0.77890625,1.5108710358605304
135,7,30,True,0.67787500000005,0.8162721528740756,0.8160645582439378,0.8160645582439378,0.00020759463013786394,0.00025432036289236133,dim,0.45,hazard,2,1.5319328633721865,1.0,0,0.5445312499999999,2,1.5319328633721865,1.0,0,0.5445312499999999,0.3575201968996551
136,4,7,True,0.4125839999999936,-0.0,0.0,-0.09073295599263553,0.0,0.0,standard,0.65,,0,0.0,1.0,0,0.0,1,-0.032411824512457166,1.0,0,0.328125,0.0
137,4,12,True,0.4049580000000663,0.5538290399567396,0.5538290399567396,0.5538290399567396,0.0,0.0,standard,0.25,metal,2,0.995485080370252,1.0,0,0.61015625,2,0.995485080370252,1.0,0,0.61015625,0.0
138,4,12,True,0.4162089999999452,1.1531987576408704,1.1531987576408704,1.1531987576408704,0.0,0.0,standard,0.65,hazard,2,1.4822881583383256,1.0,0,0.5,2,1.4822881583383256,1.0,0,0.5,0.0
139,4,0,False,0.0,0.0,0.0,0.0,0.0,0.0,standard,0.65,"PET,hazard",0,0.0,1.0,0,0.0,0,0.0,1.0,0,0.0,0.0
140,12,63,True,0.7171249999999851,2.2227015146093785,1.3262714982657586,1.3262714982657586,0.8964300163436199,0.4033065215691636,standard,0.45,,2,1.5096530849869059,1.0,0,0.5773437499999999,2,1.5096530849869059,1.0,0,0.5773437499999999,3.3473550015850986
141,5,21,True,0.7247909999998914,0.910977635273378,0.6404526143427498,0.6404526143427498,0.27052502093062825,0.2969612100844227,standard,0.25,,1,0.7088878336025927,1.0,0,0.34453125,1,0.7088878336025927,1.0,0,0.34453125,0.778700605461306
